demo_apn,demo_address,neighbor_handle,distance_ft,SITEADDR,ZIP,NUMBLDGS,NUMUNITS,LANDUSE1,VACANTLAND,ASMTIMPROV,LANDUSE_DESC,exclusion_reason,review_flag,near_demo_sites
37689050000,4926 Page Boulevard,13767000110,489.9,1216 N KINGSHIGHWAY BLVD,63113,0,0,5000,N,5900,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4926 Page Boulevard
37689050000,4926 Page Boulevard,13785000370,498.4,4861-3 PAGE BLVD,63113,0,0,6610,N,0,Code 6610 (not in dictionary),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1336 N Euclid Avenue; 4926 Page Boulevard
37709390000,1219 Bayard Avenue,13770000430,82.5,1209-11 BAYARD AV,63113,0,0,1120,N,0,Two-family (duplex/flat),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1151 Walton Avenue; 1219 Bayard Avenue
37709390000,1219 Bayard Avenue,13770000480,215.0,1159 BAYARD AV,63113,0,0,6800,Y,400,School / educational,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1151 Walton Avenue; 1219 Bayard Avenue
37709390000,1219 Bayard Avenue,13770000490,240.0,1157 BAYARD AV,63113,0,0,6800,Y,500,School / educational,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1151 Walton Avenue; 1219 Bayard Avenue
37709390000,1219 Bayard Avenue,13770000010,266.0,1130-46 N EUCLID AV,63113,0,0,6800,N,506300,School / educational,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1151 Walton Avenue; 1219 Bayard Avenue
37709390000,1219 Bayard Avenue,13770000500,289.2,1149 BAYARD AV,63113,0,0,6800,Y,4700,School / educational,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1151 Walton Avenue; 1219 Bayard Avenue
37709390000,1219 Bayard Avenue,13770000290,338.7,4844-8 PAGE BLVD,63113,0,0,5000,N,500,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1219 Bayard Avenue
37709390000,1219 Bayard Avenue,13769000430,408.6,1145 N EUCLID AV,63113,0,0,5000,Y,500,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1219 Bayard Avenue
37709390000,1219 Bayard Avenue,13771000270,422.5,4806-8 PAGE BLVD,63113,0,0,6231,Y,500,Personal services business (?),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1219 Bayard Avenue
37709390000,1219 Bayard Avenue,13769000440,431.5,1141 N EUCLID AV,63113,0,0,6800,Y,500,School / educational,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1219 Bayard Avenue
37709390000,1219 Bayard Avenue,13769000450,455.3,1131 N EUCLID AV,63113,0,0,6800,N,51800,School / educational,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1219 Bayard Avenue
37709390000,1219 Bayard Avenue,13771000275,457.0,4800 PAGE BLVD,63113,0,0,5000,N,200,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1219 Bayard Avenue
37749345000,4599 Page Boulevard,14553050010,122.6,1220 REV GEORGE H PRUITT PL,63113,0,0,6911,N,0,Church / religious,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4599 Page Boulevard
37749345000,4599 Page Boulevard,13775030460,253.1,4599 EVANS AV,63113,0,0,1110,Y,190,Single-family residence,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4599 Page Boulevard
37749345000,4599 Page Boulevard,14553050020,269.2,4568 PAGE BLVD,63113,0,0,6911,N,0,Church / religious,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4599 Page Boulevard
37749345000,4599 Page Boulevard,13772000240,325.9,4632 VERNON AV,63113,0,0,1120,Y,440,Two-family (duplex/flat),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4599 Page Boulevard
37749345000,4599 Page Boulevard,13774040012,351.5,4632-70 EVANS AV,63113,0,0,5000,N,7700,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4599 Page Boulevard
37749345000,4599 Page Boulevard,13772000220,370.0,4636 VERNON AV,63113,0,0,1110,Y,820,Single-family residence,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4599 Page Boulevard
37749345000,4599 Page Boulevard,13774040205,415.4,4641-75 PAGE BLVD,63113,0,0,5000,Y,238800,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4599 Page Boulevard
37749345000,4599 Page Boulevard,13775030300,484.8,1421-3 DEER ST,63113,0,0,6721,N,700,Code 6721 (not in dictionary),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4599 Page Boulevard
37859050000,1336 N Euclid Avenue,13785000120,229.5,1414 N EUCLID AV,63113,0,0,1120,Y,1390,Two-family (duplex/flat),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1336 N Euclid Avenue
37859050000,1336 N Euclid Avenue,13786000090,288.9,4900-6 DR MARTIN LUTHER KING DR,63113,0,0,5530,N,0,Code 5530 (not in dictionary),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1336 N Euclid Avenue
37859050000,1336 N Euclid Avenue,13783000101,464.2,4877-9 DR MARTIN LUTHER KING DR,63113,0,0,5000,N,0,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1336 N Euclid Avenue
